QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.179650,0.026480,0.083140,-0.037410,0.015670,0.312610,,0.910000,319x70,0.910000,0.950000,115.000000,10.850000,11.100000,893x31,11.100000,-0.808130,0.026340,0.085170,-0.049720,-0.086620,0.324220,77.000000,9.700000,0.092000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.154750,0.024160,0.075770,-0.034560,0.014280,0.311330,39.000000,0.760000,349x54,0.760000,0.780000,116.000000,11.710000,11.950000,75x10,12.990000,-0.830820,0.024200,0.079260,-0.046420,-0.089550,0.325430,7.000000,10.700000,0.101000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.135150,0.021950,0.068480,-0.031400,0.012110,0.311640,24.000000,0.590000,350x163,0.630000,0.660000,117.000000,12.600000,12.850000,1072x21,0.000000,-0.847320,0.022280,0.073260,-0.044060,-0.092100,0.330190,,11.700000,0.111000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.116120,0.019820,0.061840,-0.027660,0.010810,0.311370,56.000000,0.460000,430x270,0.520000,0.550000,118.000000,13.500000,13.740000,268x20,13.370000,-0.864760,0.020360,0.067840,-0.042500,-0.095080,0.332270,0.000000,12.700000,0.120000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.098860,0.017720,0.054900,-0.024910,0.009470,0.311100,0.000000,0.420000,469x169,0.430000,0.460000,119.000000,14.400000,14.640000,725x10,16.830000,-0.880890,0.018470,0.061940,-0.038840,-0.096670,0.333580,40.000000,13.700000,0.130000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.085900,0.015820,0.049960,-0.022320,0.007680,0.313260,172.000000,0.360000,481x276,0.350000,0.390000,120.000000,15.350000,15.650000,59x200,16.150000,-0.888710,0.017050,0.058850,-0.038420,-0.098350,0.344680,1.000000,14.700000,0.139000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.074310,0.014070,0.044340,-0.020670,0.006270,0.315960,9.000000,0.260000,733x1061,0.280000,0.350000,121.000000,16.250000,16.550000,50x102,15.770000,-0.904610,0.015260,0.052460,-0.035530,-0.101210,0.341700,0.000000,15.700000,0.149000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.062440,0.012320,0.039090,-0.017960,0.005670,0.314310,10.000000,0.250000,1012x415,0.240000,0.280000,122.000000,17.200000,17.500000,59x102,16.820000,-0.913870,0.013920,0.048760,-0.033800,-0.102510,0.346770,0.000000,16.700000,0.158000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.053740,0.010870,0.034430,-0.015790,0.005230,0.317300,17.000000,0.220000,724x382,0.210000,0.230000,123.000000,18.210000,18.500000,10x201,0.000000,-0.917040,0.013050,0.046760,-0.033800,-0.103460,0.360560,,17.700000,0.168000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.046570,0.009620,0.030730,-0.014190,0.004160,0.320330,,0.000000,1036x486,0.160000,0.210000,124.000000,19.150000,19.450000,10x10,0.000000,-0.925490,0.011820,0.043070,-0.031900,-0.105200,0.363100,,18.700000,0.177000
